method,value,ci_low,ci_high
linreg_causal_zw,0.0003385968708202335,0.0002923296246865948,0.0003765293692367963
linreg_causal_z,0.000312220924462567,0.0002671024404397858,0.00034950700729180034
linreg_causal_w,0.00033820605667273787,0.00029199039767556533,0.0003762094869344887
linreg_potentialoutcome,0.0003368400311661788,0.00029068922828818296,0.00037383353602773317
ipw,0.0003124929356999163,0.0002673661396804374,0.00034980621871535554
ipw_stabilized,0.0003124929356999163,0.00026736613968043915,0.0003498062187153545
ps_linreg,0.0003126138580061595,0.00026744905962862203,0.00034989871084112025
double_robust,0.00033540493837374554,0.00028967085145545487,0.00037228614908037765
